Datum,Zeit,Temperatur_C,Feuchte_%,Druck_hPa
2026-01-06,20:34:54,20.29,44.77,947.67
2026-01-06,20:49:54,20.38,45.25,947.72
2026-01-06,21:04:55,20.47,45.33,947.85
2026-01-06,21:19:55,20.54,45.73,947.76
2026-01-06,21:34:55,20.64,46.85,947.71
2026-01-06,21:49:55,20.66,46.09,947.8
2026-01-06,21:52:48,22.04,48.64,1004.81
2026-01-18,12:02:41,21.73,49.96,1004.7
2026-01-18,12:17:41,21.7,50.73,1004.56
2026-01-18,12:32:41,21.63,51.22,1004.3
2026-01-18,12:47:41,21.54,51.15,1004.24
2026-01-18,13:02:41,21.59,50.61,1004.11
2026-01-18,13:17:41,21.56,50.62,1003.98
2026-01-18,13:32:41,21.36,49.18,1003.84
2026-01-18,13:47:42,21.52,49.54,1003.64
2026-01-18,14:02:42,21.65,49.1,1003.55
2026-01-18,14:17:42,21.56,49.34,1003.44
2026-01-18,14:30:03,21.03,45.74,991.16
2026-02-01,14:42:56,4.74,75.12,990.91
2026-02-01,15:24:23,4.43,76.61,990.76
2026-02-01,15:39:35,4.25,78.57,990.75
2026-02-01,15:54:35,4.18,79.03,990.61
2026-02-01,16:09:35,4.03,79.09,990.59
2026-02-01,16:24:35,3.96,79.79,990.42
2026-02-01,16:39:35,3.93,79.77,990.47
2026-02-01,16:54:35,3.82,79.73,990.45
2026-02-01,17:09:35,3.71,79.82,990.32
2026-02-01,17:24:35,3.61,79.84,990.13
2026-02-01,17:39:36,3.58,79.63,990.09
2026-02-01,17:54:36,3.57,79.46,990.17
2026-02-01,18:09:36,3.54,78.61,990.1
2026-02-01,18:24:36,3.44,78.77,990.1
2026-02-01,18:39:36,3.38,78.44,990.09
2026-02-01,18:54:36,3.28,78.89,989.99
2026-02-01,19:09:36,3.1,79.18,989.91
2026-02-01,19:24:37,3.05,79.62,989.82
2026-02-01,19:39:37,3.06,79.37,989.92
2026-02-01,19:54:37,3.07,79.52,989.89
2026-02-01,20:09:37,2.99,79.6,989.94
2026-02-01,20:24:37,3.0,79.34,989.93
2026-02-01,20:39:37,3.06,78.72,989.91
2026-02-01,20:54:37,3.01,78.9,989.8
2026-02-01,21:09:37,2.96,79.38,989.78
2026-02-01,21:24:38,2.97,78.9,989.77
2026-02-01,21:39:38,2.88,79.37,989.73
2026-02-01,21:54:38,2.77,79.72,989.62
2026-02-01,22:09:38,2.71,80.03,989.64
2026-02-01,22:24:38,2.67,79.76,989.62
2026-02-01,22:39:38,2.63,80.02,989.64
2026-02-01,22:54:38,2.66,79.66,989.5
2026-02-01,23:09:38,2.56,80.17,989.4
2026-02-01,23:24:39,2.56,80.28,989.15
2026-02-01,23:39:39,2.66,79.87,988.97
2026-02-01,23:54:39,2.58,79.85,988.79
2026-02-02,00:09:39,2.5,80.17,988.76
2026-02-02,00:24:39,2.42,80.2,988.56
2026-02-02,00:39:39,2.31,80.22,988.47
2026-02-02,00:54:39,2.07,80.74,988.2
2026-02-02,01:09:40,1.99,80.96,988.19
2026-02-02,01:24:40,2.08,80.64,988.15
2026-02-02,01:39:40,2.19,79.43,988.04
2026-02-02,01:54:40,2.04,79.88,988.0
2026-02-02,02:09:40,1.97,79.59,987.94
